"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Mexico",2020,0.35,0.44,0.34496,2,60,"Partly Free",0.524030456852792,0.288847715736041,-0.517796954314721,0.538071065989848,0.147052030456853,4.66252403835307,"Gini index",46.7,0,1390178.4,123039,12570.8,130262220,66.444,17336.469,0.045,"2020",0.045,2020,0.0349,2019,35,6.317,6.465,131562.772
"Mexico",2021,0.275,0.44,0.27104,2,60,"Partly Free",0.524030456852792,0.288847715736041,-0.517796954314721,0.538071065989848,0.147052030456853,4.66252403835307,"Gini index",46.7,0,2735848.79113924,229057.063291139,51704438.5158228,130262220,66.444,17336.469,0.045,"2020",0.045,2020,0.0349,2019,35,6.317,6.465,131562.772
"Moldova",2021,0,0.45,0,1,62,"Partly Free",0.96,0.5674,0.713533333333333,0,-0.0884,1.35352737037037,"Gini index",25.7,26,285230.446153846,6777.12307692308,881880.41025641,4024025,123.655,5189.972,0.038,"2020",0.038,2020,0.0499,2019,64,5.766,5.608,4013.171
"Mongolia",2021,0.2,0.516,0.1997952,1,84,"Free",-1.0749504950495,0.35529702970297,-0.588534653465347,0.0297029702970297,0.278462871287129,0.029204501650165,"Gini index",32.7,0,245903.561403509,855.535087719298,3331662.93421053,3329282,1.98,11840.846,0,"0",0,0,0,0,69,5.677,5.456,3378.078
"Morocco",2021,0.3,0.263,0.2325972,2,37,"Partly Free",0.51516,0.73672,1.2358,0.79535,-0.01806,0.336545777777778,"Gini index",0,0,614172.419047619,10146.1857142857,18618826.2761905,37344787,80.08,7485.013,0,"0",0,0,0,0,104,4.918,5.095,37772.756
"Mozambique",2021,0.15,0.271,0.1185354,1,43,"Partly Free",-0.220467213114754,0.250762295081967,-1.41126229508197,0,0.353282786885246,-0.170295173041894,"Gini index",0,0,127813.054054054,1572,4909733.16216216,32163045,37.728,1136.103,0,"0",0,0,0,0,113,4.794,4.624,33089.461
"Namibia",2021,0,0.559,0,2,77,"Free",1.066,0.71278125,-1.14184375,1.477015625,-0.1197734375,2.26954583333333,"Gini index",0,0,82497.5182481752,1687.29197080292,146506.364963504,2587344,3.078,9541.808,0,"0",0,0,0,0,122,4.574,4.571,2633.874
"Nepal",2021,0.1,0.452,0.0990784,2,57,"Partly Free",1.06415625,0.833875,0.82509375,0.4769921875,-0.338296875,1.06783385416667,"Gini index",0,0,639271.726666667,8746.30666666667,7277735.1,29674920,204.43,2442.804,0,"0",0,0,0,0,85,5.269,5.137,30225.582
"Netherlands",2021,0.025,0.832,0.0139776,2,97,"Free",-0.831635135135135,0.836238738738739,-0.150576576576577,1.17743243243243,-0.324763513513514,2.74464963713714,"Gini index",28.1,29.2,1743515.74509804,17359.1568627451,14100369.1176471,17173094,508.544,48472.545,0.038,"2020",0.038,2020,0.0341,2019,5,7.464,7.449,17211.447
"New Zealand",2021,0,0.849,0,1,99,"Free",-0.466,0.780148936170213,0,0.975829787234043,0.102398936170213,5.06560726950355,"Gini index",0,0,4672.75625,29.26875,3015994.25625,5126300,18.206,36085.843,0.046,"2020",0.046,2020,0.0413,2019,9,7.277,7.3,4898.203
"Niger",2021,0.15,0.388,0.1424736,1,51,"Partly Free",0.452348837209302,0.501837209302326,-0.174976744186047,0,-0.17856976744186,0,"Gini index",37.3,0,5772.5,201.277777777778,428199.888888889,25130810,16.955,926,0,"0",0,0,0,0,94,5.074,4.91,26083.66
"Nigeria",2021,0.3,0.363,0.2774772,2,43,"Partly Free",1.36582258064516,0.578661290322581,0.466403225806452,0.533120967741936,-0.192286290322581,3.05219193548387,"Gini index",35.1,0,182284.180851064,2346.36170212766,4275986.09574468,211400704,209.588,5338.454,0,"0",0,0,0,0,114,4.759,4.724,216746.934
"Norway",2020,0.0666666666666667,0.857,0.0326802666666667,1,100,"Free",1.05368965517241,0.848916256157635,0.258379310344828,0,-0.298586206896552,1.88005110837438,"Gini index",27.6,27.7,42741.4333333333,394.833333333333,278.733333333333,5465629,14.462,64800.057,0.044,"2020",0.044,2020,0.0372,2019,6,7.392,7.488,5511.37
